node,x,y
3971,-407.140592,137.110391
4031,-1546.982300,-533.080139
4213,901.119141,1010.176514
5047,-1017.115356,-592.714050
1805,-1079.951416,-627.425598
2145,-1247.559326,-666.554749
4279,-1583.648804,-686.307373
2127,-1201.002930,82.008148
2514,-1468.921387,-492.365234
2442,44.928162,-1749.177368
3293,603.333862,-1595.525513
4913,372.038483,1356.847534
2234,590.206604,500.658813
2552,-510.303589,-786.522461
5915,-283.893188,52.812134
2211,-984.057438,945.878923
3012,-548.055359,-940.440735
1911,-586.463863,-299.355050
2116,5.460583,699.986145
2728,123.063736,805.918762
1454,153.456573,973.750977
789,473.363831,1045.731812
5034,230.715113,533.263332
3391,-835.025269,1076.508911
825,1368.722900,248.709015
1407,-630.553345,1242.819580
5292,-995.699851,-817.212479
6193,-1053.563721,-893.959717
2221,-461.352783,240.064117
1484,-305.649780,-464.349396
4205,-756.781250,-253.481598
3560,-10.927162,145.609985
1690,827.632263,203.684021
1979,1095.744507,-376.249084
5371,-65.606339,-1773.362671
2636,-380.424011,1390.246460
1712,-78.883157,-478.950053
3102,-37.595840,-177.245728
2816,399.350677,96.598572
6197,-1091.024902,875.124817
473,178.117767,349.419342
1487,683.538330,-992.921692
1353,30.615570,1154.793213
5140,130.774600,-198.673881
4245,626.958191,1205.611694
2706,549.765259,1011.583862
3734,31.553688,-1440.439087
565,-1234.455933,776.647278
3929,814.893555,-891.745422
6037,690.573914,-1148.222656
45,1149.848389,892.220581
3449,49.650124,1438.254639
5747,883.426819,1171.020264
2313,-327.659458,77.252626
4458,88.611572,-305.107605
3737,-1273.533081,-281.035797
5553,-21.080235,1514.068481
2244,208.270020,-1536.094360
667,465.639069,1406.129028
752,-247.493195,-1528.574219
879,56.091568,-1366.125366
3069,-119.272781,-351.582055
4499,1485.411255,64.516457
5195,-52.746429,-416.647949
3520,-518.859802,1373.433105
1882,974.870245,-473.408824
5225,-349.874908,1218.779785
4421,529.386780,-879.502991
3065,16.662777,-1433.974487
2803,995.087646,535.274597
5760,682.274231,-1546.177612
3078,-236.929382,1136.806030
559,175.805115,1512.340454
6098,705.946899,1301.089600
839,553.134888,1308.637085
1778,1409.877686,372.893036
5108,-667.179565,1044.483032
1064,1008.198608,-329.187164
3633,1196.672485,-580.127563
1948,1091.734619,-462.501801
3709,1281.942261,-432.754669
959,951.377380,-441.163483
23,1438.261353,177.462097
5444,1008.019775,1123.683472
6216,1072.740601,-754.275085
2904,1186.768433,-487.207275
3151,1146.098267,-413.827820
4866,1290.688232,-589.964600
4828,1079.020417,-523.385763
4903,1090.300464,-584.004691
62,1197.179565,-508.908386
5869,1198.900024,-455.561951
1437,293.083496,-1474.962158
5853,159.654678,-1161.689941
3897,1429.703247,94.829460
5179,-1670.435791,-198.905029
1185,-1485.773804,-256.798553
392,-819.876561,-499.463566
4667,-577.179216,-789.064120
5896,548.421576,-1153.480611
585,-1731.929199,-229.579315
1959,-309.251251,364.323120
3916,-175.683212,-1229.795532
4398,238.499023,-1063.017700
2460,-403.630219,-219.026718
4896,-865.258911,1153.866455
345,498.952637,-1219.373047
5635,-507.890930,847.917297
3398,-1523.226196,462.736115
4448,767.070190,-1514.892212
1006,-205.075424,1331.596802
2746,568.129700,-1137.930298
1240,-410.198456,949.241760
3685,1179.561136,47.687767
2483,1136.563965,-1.693588
1808,-155.316620,-1050.133057
3256,-1065.278687,551.536499
2855,-68.314400,-1090.318237
161,229.299561,-314.965698
4984,-858.710999,-971.303528
3730,906.796143,756.230103
3936,-885.518982,-85.675194
164,1093.489746,-602.342957
4052,-1089.471191,-222.397507
3759,485.321838,1088.718140
2170,-463.354053,455.973781
2152,-890.011169,-1189.240234
1357,-721.763184,-1063.246338
614,-422.239929,-426.622742
231,-720.489563,-1274.180176
767,296.592976,-915.131454
1227,-894.985474,-150.422729
786,-897.995503,-682.267915
2186,-1096.561890,-486.110504
4603,-1126.171631,-601.145325
3228,-948.413776,-310.383319
6159,-842.210423,-183.416378
4706,-819.327192,-36.568745
227,-1084.631470,-614.077209
1449,518.330994,-590.602478
3451,-1109.105469,720.392090
2011,1139.512085,-994.699219
1369,-905.684082,-822.801270
637,608.823914,357.914001
1528,236.653809,-684.226135
1716,423.896759,134.674545
2123,-88.324654,-1052.000000
1908,276.082764,-1709.655151
701,-90.510220,-496.829334
2990,421.178905,1231.345348
1082,85.926933,-1711.507690
4121,-246.065118,-94.855556
4242,-1003.430333,549.019620
469,761.830750,-1449.140625
2069,-1412.443115,-251.404358
2659,-490.629089,-1536.970337
3890,711.179241,-531.641977
698,83.234387,-157.309123
2592,658.503784,-1011.577759
783,885.640930,-1429.036377
3634,-560.397958,226.375416
1646,124.075541,-181.655506
3960,97.029022,-1552.392212
4545,-471.738556,-997.362854
1632,-622.916260,-1241.784790
3882,74.768417,-443.672943
526,-797.632996,-1577.657837
5087,-237.299286,-870.324280
335,-1231.218750,-437.076843
250,-1167.491211,-1300.871094
3251,-1091.786499,-385.711884
3125,1331.287842,-968.393921
804,1406.467285,-354.266510
802,-157.067535,1194.831055
79,-274.143646,1075.354614
63,-135.765784,573.088355
1281,-1340.703613,-631.161499
1172,443.299866,291.160675
977,379.457947,663.879822
669,376.523285,323.649933
5437,226.141418,411.487732
934,393.657684,439.736725
3600,801.626038,854.960205
2826,552.546875,544.040588
6057,-417.890892,-904.097226
1411,254.260590,812.077637
3839,-683.176392,513.677429
3375,-490.962510,630.115876
2836,-490.962510,630.115876
2201,-199.946859,-353.744050
6091,-128.616038,-328.369740
132,193.430283,130.727600
3001,-722.838257,256.670746
5712,597.668396,-1495.046631
3745,-647.965332,-1363.515381
5842,-204.870239,1479.501709
358,-540.230103,-1599.158569
3198,1389.157227,-301.320343
3016,-1052.832520,-800.709473
6162,938.743408,1066.386353
2558,-1051.488770,-429.910400
3085,-493.884926,3.943883
5090,513.885321,130.553750
67,745.716431,229.866852
4725,543.252014,103.264450
837,508.750427,104.162117
1647,-538.978088,653.070129
608,-1547.710693,-781.917603
4781,-1612.560791,-289.288391
2029,378.824732,-157.829797
4877,-1070.101074,766.424561
5004,-376.499586,638.181812
5939,-396.122437,431.138214
3247,-649.999573,-192.677356
1406,-687.650391,270.768707
4449,462.291595,-1061.336060
3645,599.599548,-1432.408203
597,-1325.888134,168.482335
5303,-571.148132,-1102.880493
3401,-414.415802,-1546.537842
3465,1331.702271,346.771149
1432,-1407.051758,-597.494446
2302,1284.978638,742.537292
3015,326.820770,1401.405884
6110,-52.614380,998.881653
4937,-346.272888,192.850168
1249,-725.158057,-81.669837
2548,1285.328857,250.868439
1366,380.530518,-809.110718
2949,583.551758,514.876343
1067,-609.800598,-429.433746
4809,-110.972183,-58.311996
2969,-354.590881,-333.609100
1689,-19.496651,55.446709
1475,-378.754730,-1643.119629
1743,1417.681030,-321.724487
2432,-435.029785,217.436890
1069,480.768250,-740.096252
2028,-1.535540,-980.483494
5678,1223.689087,825.645386
1005,-326.094299,-1220.643799
2448,150.420639,-256.517181
1017,-544.795044,-966.523193
1765,-504.989441,-998.131531
1695,516.947021,-1473.084839
4334,1394.007812,-48.314178
1603,-557.653503,37.011209
5145,1075.400391,-529.193420
1036,-1134.273682,-935.358459
3565,-719.514282,732.220398
1924,-1176.144531,-507.583313
5099,629.737122,262.843292
2561,24.535706,-161.053589
1897,612.825928,234.878113
1652,-265.650632,295.426770
2564,909.989990,-513.862976
5859,1021.355225,-673.734070
600,871.951691,-481.771615
1230,1083.015869,-552.379639
4748,-527.766152,-236.857907
3844,1075.457275,-466.317566
503,1029.393902,-538.404426
5144,839.825439,-473.538239
1365,1436.034180,-266.445282
1266,-493.884926,3.943883
5439,393.403320,1099.296265
1599,-841.613098,-1048.702393
5498,397.550598,912.736511
5731,-1441.269775,187.350098
4021,-1374.699829,270.911377
6153,-1399.106079,302.729004
4389,-332.163300,1127.370117
5323,-349.979889,-478.015564
5471,-311.462952,-776.081177
72,-402.479949,-616.769200
939,-515.096985,-602.876709
4600,-105.562683,1297.117310
5737,-488.226638,-229.714520
4876,-153.200613,-339.933843
2020,-864.588135,-905.640747
58,-14.147186,-1577.370850
601,-409.942200,-474.273224
1823,-2.307857,-230.675852
1790,-1256.527344,-574.600037
2879,-767.382263,-36.423599
1622,-885.067566,-492.398438
3990,-408.295074,-1094.516724
5481,-284.354858,-1086.817261
1920,-363.216522,-984.102173
3922,-339.056885,-1188.838623
4446,-228.028320,-794.515503
3213,-343.365021,-1084.057129
4482,-224.739014,-1141.585083
3751,-212.743439,-976.782043
1960,-429.912903,-1087.523926
361,-240.663391,-875.686829
138,-773.760559,-115.267975
4420,1109.903687,351.836975
4529,726.846863,81.960052
5165,691.049133,103.060051
6064,584.055115,81.080307
3638,-6.525520,-187.158127
2950,481.327759,-405.337585
4673,484.579224,-89.577324
3610,800.204712,310.056671
4562,800.143738,350.722168
71,836.170715,280.321442
252,525.169189,-79.307503
490,545.115967,-92.123947
623,510.968750,-27.699459
3219,-366.845428,-351.314270
5465,-191.069138,-10.513208
1310,588.156555,-7.942144
1399,713.875488,-137.404068
3092,-610.223083,-1096.326538
5717,-545.826355,-1027.540894
658,-684.274109,122.688522
753,-521.061707,-1651.009277
3046,-489.156616,-797.433838
5615,-492.124023,-1263.471436
870,913.059326,885.072144
4591,-482.995760,13.458931
4804,677.000508,383.118625
1287,586.095398,-250.856934
4750,326.779338,-130.685156
4219,547.995789,-81.090500
3540,555.131897,-55.977631
5543,143.206879,50.048721
5291,313.550781,-95.990891
18,106.033218,-75.401955
1044,-1.357511,-548.213984
3455,-296.629181,-1008.723022
3756,-459.891663,-1319.163452
