node,x,y
3522,-1485.774000,-256.799000
2655,-1085.271000,-443.809000
4505,-439.440000,1123.497000
1754,-986.750000,-849.562000
4083,101.774000,1413.954000
108,410.434000,437.363000
716,1554.790000,-7.183000
897,-168.269000,-1066.145000
3756,-1537.511000,-465.537000
1899,95.160000,862.463000
1583,-175.683000,-1229.796000
904,252.846000,-152.662000
3124,291.321000,167.163000
516,-1583.649000,-686.307000
4853,327.903000,-1693.412000
4002,-489.157000,-797.434000
422,-1282.629000,-1013.786000
4687,-1647.357000,-251.315000
2020,-459.250000,704.177000
1247,-552.715000,1460.010000
5643,811.575000,238.692000
3171,543.252000,103.264000
2907,226.221000,1417.769000
5512,-490.172000,1239.822000
2125,-347.708000,258.775000
3193,-260.246000,121.042000
2052,-362.640000,-1454.206000
4234,723.557000,139.780000
3066,695.393000,-508.678000
4468,143.207000,50.049000
2940,1225.188000,-533.846000
4802,886.282000,890.149000
2150,-547.711000,-228.831000
2664,742.432000,431.145000
2805,313.551000,-95.991000
4446,-420.770000,-1300.522000
3211,-575.134000,-801.749000
166,83.227000,-1037.492000
532,490.536000,493.296000
4429,71.580000,-1503.359000
4319,-915.083000,-762.848000
2667,-452.682000,1436.438000
1445,215.857000,238.889000
2446,629.737000,262.843000
4454,-367.373000,200.854000
3410,800.144000,350.722000
265,-1353.964000,110.273000
4775,873.886000,1217.956000
2458,-544.482000,438.209000
2035,1365.679000,-445.824000
3324,1004.541000,1116.390000
2721,-1204.550000,186.389000
3165,-234.196000,67.887000
130,-1290.285000,-18.543000
617,-1079.951000,-627.426000
4541,-1321.189000,-1004.542000
3287,-1147.745000,-981.547000
529,-1728.076000,-30.673000
4797,525.169000,-79.308000
5256,-84.281000,-764.706000
1304,-770.324000,-1077.117000
1237,-530.206000,445.908000
3234,-869.494000,-1207.911000
5518,1119.486000,168.863000
4626,-581.474000,1329.959000
5077,-1483.671000,131.529000
4018,267.690000,-1745.533000
5319,-873.952000,-955.013000
5211,1068.525000,-829.785000
1093,135.258000,1347.639000
1379,26.034000,-1784.584000
3226,-1311.033000,-570.656000
470,683.870000,269.905000
1865,-0.035000,1351.028000
1096,-1019.365000,-556.511000
559,-450.666000,596.689000
4525,745.716000,229.867000
4425,846.522000,-1408.194000
881,268.598000,-812.213000
4064,-1066.262000,-624.139000
5332,621.448000,529.686000
1361,-1133.961000,-728.737000
5213,447.907000,-926.740000
3715,-366.821000,-540.186000
1649,1346.511000,-605.109000
1735,87.479000,464.844000
4469,-71.949000,343.144000
5267,-79.299000,-652.706000
3622,1136.926000,-1129.609000
5356,-1011.586000,341.627000
4756,1060.609000,-721.737000
4672,-623.819000,439.982000
4435,-1119.460000,161.311000
3755,-781.226000,1329.526000
2781,278.270000,-1561.936000
1441,-5.037000,1432.115000
4438,-224.739000,-1141.585000
1767,-155.317000,-1050.133000
4922,279.771000,-197.577000
4644,168.446000,-1427.175000
1011,794.745000,826.335000
1202,349.165000,-1625.696000
285,382.756000,-1388.223000
4159,1122.487000,811.672000
1025,-1406.250000,607.457000
4944,-1126.570000,-1319.463000
1679,1575.263000,-93.661000
2776,222.937000,389.951000
792,-522.288000,-730.784000
4593,514.746000,1162.874000
5334,584.055000,81.080000
5320,1451.507000,21.125000
2464,-191.566000,-1775.361000
3429,-1092.127000,445.766000
4492,546.873000,340.150000
641,956.716000,904.484000
274,-464.228000,-413.828000
1495,-16.406000,1267.748000
814,-1304.925000,605.314000
2079,1136.415000,-848.006000
3055,-20.593000,-1104.310000
350,875.471000,-1382.497000
2807,981.516000,-189.549000
2336,136.105000,-374.312000
2093,1017.321000,-462.869000
4759,-1007.851000,542.733000
1132,-1007.221000,288.364000
3527,247.089000,350.762000
2391,542.017000,303.192000
1974,-92.295000,1012.128000
612,-591.403000,-785.083000
5198,219.020000,806.299000
2455,-83.339000,1074.221000
886,-191.069000,-10.513000
820,1239.053000,-995.367000
1704,214.345000,757.143000
1692,549.669000,187.143000
3089,827.823000,818.161000
1936,616.473000,-282.434000
1784,-1085.370000,-283.600000
1987,760.607000,1008.405000
3893,-390.426000,-547.421000
3824,-117.044000,-360.527000
2268,-482.193000,1091.502000
5276,622.488000,-649.351000
5121,1357.052000,-943.902000
4878,-194.091000,-967.750000
4485,247.649000,1222.071000
4999,-35.047000,-1030.246000
3142,114.364000,961.902000
593,-487.390000,-1121.051000
4630,730.361000,586.344000
731,1095.878000,1050.930000
3586,583.552000,514.876000
208,-873.345000,-811.221000
4207,-492.415000,615.821000
332,1326.375000,649.026000
31,-317.764000,410.928000
2508,-51.953000,-1335.010000
